target,pose_rank,affinity,cnnscore,minimizedAffinity,file
5HT2A_active_7WC5,11,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,12,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,13,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,14,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,15,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,16,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,17,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,18,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,19,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,20,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,21,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,22,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,23,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,24,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,25,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,26,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,27,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,28,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,29,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,30,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,31,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,32,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,33,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,34,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,35,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,36,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,37,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,38,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,39,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,40,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,41,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,42,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,43,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,44,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,45,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,46,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,47,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,48,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,49,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,50,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,51,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,52,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,53,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,54,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,55,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,56,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,57,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,58,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,59,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,60,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,61,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,62,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,63,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,64,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,65,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,66,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,67,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,68,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,69,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,70,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,71,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,72,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,73,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,74,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,75,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,76,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,77,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,78,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,79,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,80,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,81,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,82,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,83,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,84,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,85,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,86,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,87,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,88,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,89,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,90,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,91,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,92,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,93,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,94,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,95,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,96,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,97,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,98,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,99,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,100,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,101,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,102,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,103,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,104,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,105,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,106,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,107,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,108,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,109,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,110,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,111,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,112,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,113,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,114,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,115,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,116,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,117,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,118,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,119,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2A_active_7WC5,120,,,,data/results/dock_5HT2A_active_7WC5/poses.sdf
5HT2B_4IB4,1,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,2,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,3,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,4,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,5,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,6,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,7,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,8,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,9,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,10,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,11,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,12,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,13,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,14,,,,data/results/dock_5HT2B_4IB4/poses.sdf
